index,name,set,rarity,cardNumber,condition,finish,quantity,marketPrice,priceDelta,priceDeltaPercent,trend,imageUrl,imageAlt
1,Sabo (PRB02-014) (SP),Adventure on Kami's Island,SR,PRB02-014,Near Mint,Foil,1,175.7,12.34,7.55,up,https://public.getcollectr.com/public-assets/products/product_685032.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sabo (PRB02-014) (SP) 
2,Cinccino ex,Chaos Rising,Special Illustration Rare,119/086,Near Mint,Holofoil,1,113.75,-89.25,-43.97,down,https://public.getcollectr.com/public-assets/products/product_693465.webp?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Cinccino ex 
3,Chaos Rising Elite Trainer Box,Chaos Rising,,,,,1,110.66,9.12,8.98,up,https://public.getcollectr.com/public-assets/products/product_684450.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Chaos Rising Elite Trainer Box 
4,Divine Departure (Alternate Art),Carrying On His Will,R,OP13-076,Near Mint,Foil,1,105.61,-0.54,-0.51,down,https://public.getcollectr.com/public-assets/products/product_657341.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Divine Departure (Alternate Art) 
5,Lightning Dragon (Alternate Art),Adventure on Kami's Island,R,OP15-077,Near Mint,Foil,1,83.58,-2.66,-3.08,down,https://public.getcollectr.com/public-assets/products/product_685428.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Lightning Dragon (Alternate Art) 
6,Vayne - Hunter (Overnumbered),Spiritforged,Showcase,223/221,Near Mint,Foil,1,71.81,-8,-10.02,down,https://public.getcollectr.com/public-assets/products/product_664937.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Vayne - Hunter (Overnumbered) 
7,Chaos Rising Booster Bundle,Chaos Rising,,,,,1,59.54,2.68,4.71,up,https://public.getcollectr.com/public-assets/products/product_684456.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Chaos Rising Booster Bundle 
8,Unchecked Power,Origins,Epic,123/298,Near Mint,Foil,1,52.34,-0.6,-1.13,down,https://public.getcollectr.com/public-assets/products/product_652906.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Unchecked Power 
9,Elder Dragon (Alternate Art),Unleashed,Showcase,118a/219,Near Mint,Foil,2,44.83,-5.57,-11.05,down,https://public.getcollectr.com/public-assets/products/product_684656.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Elder Dragon (Alternate Art) 
10,Froakie,Chaos Rising,Illustration Rare,088/086,Near Mint,Holofoil,3,37.17,-17.82,-32.41,down,https://public.getcollectr.com/public-assets/products/product_693489.webp?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Froakie 
11,Time Warp,Origins,Epic,122/298,Near Mint,Foil,1,36.26,-7.47,-17.08,down,https://public.getcollectr.com/public-assets/products/product_652905.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Time Warp 
12,Xerneas,Chaos Rising,Illustration Rare,091/086,Near Mint,Holofoil,1,30.89,6.05,24.36,up,https://public.getcollectr.com/public-assets/products/product_693564.webp?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Xerneas 
13,Last Rites,Spiritforged,Epic,150/221,Near Mint,Foil,1,30.78,7.99,35.06,up,https://public.getcollectr.com/public-assets/products/product_665029.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Last Rites 
14,Elder Dragon,Unleashed,Epic,118/219,Near Mint,Foil,1,30.51,-3.68,-10.76,down,https://public.getcollectr.com/public-assets/products/product_685007.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Elder Dragon 
15,Special Red Card,Chaos Rising,Ultra Rare,113/086,Near Mint,Holofoil,1,29.23,-0.76,-2.53,down,https://public.getcollectr.com/public-assets/products/product_693548.webp?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Special Red Card 
16,Donquixote Rosinante - OP12-108 (TR),The Azure Sea's Seven,TR,OP12-108,Near Mint,Foil,1,26.22,-0.41,-1.54,down,https://public.getcollectr.com/public-assets/products/product_670876.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Donquixote Rosinante - OP12-108 (TR) 
17,Monkey.D.Luffy (OP15-119),Adventure on Kami's Island,SEC,OP15-119,Near Mint,Foil,1,25.77,0.04,0.16,up,https://public.getcollectr.com/public-assets/products/product_685480.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Monkey.D.Luffy (OP15-119) 
18,Thousand-Tailed Watcher,Origins,Rare,116/298,Near Mint,Foil,1,25.29,-4.25,-14.39,down,https://public.getcollectr.com/public-assets/products/product_652898.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Thousand-Tailed Watcher 
19,Enel (OP15-118),Adventure on Kami's Island,SEC,OP15-118,Near Mint,Foil,1,21.53,-2.58,-10.7,down,https://public.getcollectr.com/public-assets/products/product_685477.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Enel (OP15-118) 
20,Rengar - Trophy Hunter,Unleashed,Epic,120/219,Near Mint,Foil,2,20.59,-1.96,-8.69,down,https://public.getcollectr.com/public-assets/products/product_684215.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rengar - Trophy Hunter 
